Type,Equation,Units,Manufacturer,Description
acc_00,linear,g,RBR,Acceleration (in g's)
alti00,distancefromechotiming,m,RBR,Distance from echo timing
baro00,linear double,ps,RBR,Frequency counter[2]
baro01,linear double,ps,RBR,Frequency counter[2]
baro02,deri_bprpres,dbar,Paroscientific/RBR,BPR calculated pressure[2]
baro03,deri_bprtemp,°C,Paroscientific/RBR,BPR calculated temperature[2]
bpr_08,deri_bprpres,dbar,Paroscientific/RBR,BPR calculated pressure[2]
bpr_09,deri_bprtemp,°C,Paroscientific/RBR,BPR calculated temperature[2]
cnt_00,none,counts,RBR,"Measurement count, useful for eg. regimes bins"
cond08,corr_cond3,μS/cm,RBR,Fresh water conductivity
cond09,corr_cond,mS/cm,RBR,Marine conductivity
cond10,corr_cond,mS/cm,RBR,"Marine conductivity, Combined C.T cell"
cond11,corr_cond1,mS/cm,RBR,"Marine conductivity, Deep combined C.T cell"
cond12,corr_cond2,mS/cm,RBR,"Marine conductivity, 2000dbar Combined C.T cell"
cond13,corr_cond3,mS/cm,RBR,"Marine conductivity, RBRlegato C.T cell"
cond15,corr_cond3,mS/cm,RBR,"Marine conductivity, UV Antifouling CTD"
cond16,corr_cond3,mS/cm,RBR,"Marine conductivity, 6000dbar C cell"
cond17,corr_cond3,mS/cm,RBR,"Marine conductivity, 6000dbar Combined C.T cell"
cond18,corr_cond3,mS/cm,RBR,Marine conductivity
cond19,corr_cond3,mS/cm,RBR,"Marine conductivity, Combined C.T cell"
cond21,corr_cond3,mS/cm,RBR,"Marine conductivity, 2000dbar Combined C.T cell"
cond22,corr_cond3,mS/cm,RBR,"Marine conductivity, RBRlegato C.T cell"
cond24,corr_cond3,mS/cm,RBR,"Marine conductivity, Transverse C.T cell (Ti)"
cond25,corr_cond3,mS/cm,RBR,"Marine conductivity, Transverse C.T cell (POM)"
doxy03,linear,%,Oxyguard,Dissolved oxygen saturation
doxy07,linear,%,Aanderaa,"Optode: dissolved oxygen saturation, serial"
doxy08,corr_rinkoB,%,JFE Advantech,Rinko-III (B): dissolved oxygen saturation with temperature
doxy09,corr_rinkoBT,%,JFE Advantech/RBR,Rinko-III (B): dissolved oxygen saturation without temperature
doxy10,linear,μmol/L,Aanderaa,"Optode: dissolved oxygen concenration, serial"
doxy13,linear,%,RBR,"Dissolved oxygen saturation, serial RBRsolo DO|rt"
doxy22,deri_o2sat_garcia,%,RBR,Dissolved oxygen saturation derived from concentration via Gordon and Garcia
doxy23,corr_o2conc_garcia,μmol/L,RBR,"Dissolved oxygen concentration compensated, serial RBRcoda ODO"
doxy25,linear,%,Oxyguard,Dissolved oxygen (saturation)
doxy27,corr_o2conc_garcia,μmol/L,RBR,"Dissolved oxygen concentration compensated, serial RBRcoda ODO|slow"
dpth01,deri_depth,m,-,Derived depth
echo01,lin,ms,RBR,Echo timing
eco_00,lin,counts,WET Labs,Generic channel for WET Labs ECO Triplet/Puck sensors
fluo00,linear,μg/L,Seapoint,Fluorometry-Phycoerythrin
fluo01,linear,μg/L,Seapoint,Fluorometry-Chlorophyll
fluo02,linear,μg/L,Seapoint,Fluorometry-Rhodamine
fluo03,linear,μg/L,Seapoint,Fluorometry-UV/CDOM
fluo04,linear,μg/L,Seapoint,Fluorometry-Phycocyanin
fluo10,linear,μg/L,Turner Designs,Fluorometry-Chlorophyll-a
fluo11,linear,ppb,Turner Designs,Fluorometry-CDOM
fluo12,linear,ppb,Turner Designs,Fluorometry-Crude oil
fluo13,linear,cells/mL,Turner Designs,Fluorometry-Cyanobacteria
fluo14,linear,ppb,Turner Designs,Fluorometry-Optical brighteners
fluo15,linear,ppb,Turner Designs,Fluorometry-Fluorescein
fluo16,linear,ppb,Turner Designs,Fluorometry-Rhodamine
fluo17,linear,ppb,Turner Designs,Fluorometry-Refined fuels
fluo18,linear,ppm,Turner Designs,Fluorometry-BTEX
fluo19,linear,cells/mL,Turner Designs,Fluorometry-Phycocyanin
fluo20,linear,cells/mL,Turner Designs,Fluorometry-Phycoerythrin
fluo21,linear,V,Turner Designs,Fluorometry-custom
fluo22,linear,RFUB,Turner Designs,Chlorophyll a (C3)
fluo23,linear,RFUB,Turner Designs,CDOM (C3)
fluo24,linear,RFUB,Turner Designs,Crude oil (C3)
